allZT	nbZT
AT4G39070	2
AT4G31490	2
AT1G08520	2
AT3G62870	2
AT4G26900	1
AT1G52750	1
AT3G10572	1
AT5G58770	2
AT1G77450	3
AT2G47330	1
AT2G45000	2
AT5G57887	2
AT3G23470	1
AT4G16515	1
AT4G15770	1
AT4G19690	1
AT3G25840	2
AT4G04695	2
AT2G14830	1
AT2G16460	1
AT5G59430	1
AT2G29750	1
AT5G20380	2
AT1G28380	1
AT3G18430	1
AT5G62550	2
AT3G04940	1
AT1G22730	3
AT2G43910	1
AT1G01930	2
AT1G04130	1
AT5G02530	2
AT5G63970	1
AT5G15860	1
AT1G67700	1
AT3G45730	2
AT1G54780	1
AT5G46270	1
AT3G55750	1
AT1G20760	2
AT5G51910	1
AT1G61275	3
AT3G06410	2
AT5G20120	2
AT3G55710	1
AT1G32920	1
AT5G04760	1
AT3G61050	1
AT5G58420	1
AT4G27700	1
AT4G12600	1
AT1G48550	2
AT5G47660	2
AT2G20960	1
AT1G31500	1
AT4G24450	1
AT3G63540	1
AT3G44970	1
AT4G32730	1
AT4G12490	1
AT3G25860	1
AT4G31730	1
AT4G18975	1
AT3G20440	1
AT3G59410	2
AT1G73620	1
AT4G13150	2
AT5G01400	1
AT5G48800	1
AT1G70690	2
AT5G26220	1
AT3G27925	1
AT5G47580	1
AT5G53280	3
AT5G59800	1
AT2G38170	3
AT5G40890	1
AT3G61320	1
AT5G57800	1
AT1G22690	1
AT2G30950	1
AT2G02960	2
AT5G01240	1
AT1G79870	1
AT1G05600	1
AT1G75335	2
AT4G06744	1
AT4G22740	1
AT1G62020	1
AT5G47930	1
AT1G70518	1
AT2G36410	2
AT1G67900	2
AT4G38090	1
AT5G09225	1
AT5G19780	1
AT1G73530	2
AT3G58730	1
AT2G15290	2
AT3G48320	1
AT3G52060	1
AT3G49601	1
AT4G22310	1
AT2G23840	1
AT5G15160	2
AT1G71440	1
AT3G12930	2
AT1G71430	1
AT2G22640	1
AT5G57070	1
AT5G66760	2
AT3G57660	1
AT2G01660	2
AT5G33370	1
AT5G50915	1
AT3G52960	1
AT2G13840	1
AT3G09210	1
AT5G54300	1
AT4G19410	1
AT1G06410	1
AT1G55140	1
AT1G11910	1
AT2G20450	1
AT2G38040	1
AT1G22450	2
AT3G52560	1
AT2G13610	1
AT4G13840	1
AT3G62310	1
AT4G08540	2
AT4G01660	1
AT5G49020	1
AT2G19430	2
AT1G13380	1
AT1G13860	1
AT5G19970	1
AT5G45800	1
AT3G12090	1
AT3G08650	1
AT5G03050	1
AT1G45110	1
AT5G58700	2
AT2G46710	1
AT1G55805	3
AT4G24060	1
ATCG00330	1
AT1G08830	1
AT2G43820	1
AT2G40935	1
AT2G41640	2
AT1G72510	1
AT5G28290	1
AT2G05830	1
AT1G70820	2
AT5G42760	2
AT5G18690	1
AT5G65630	1
AT4G00335	1
AT1G54690	1
AT4G35100	1
AT5G63020	2
AT3G03860	1
AT4G02640	1
AT2G36530	3
AT1G09280	1
AT3G47120	2
AT1G50710	2
AT4G28880	1
AT3G19950	1
AT3G60510	3
AT5G46750	2
AT1G10850	1
AT3G49290	2
AT1G56000	3
AT4G13040	2
AT1G68670	1
AT3G23390	1
AT1G73840	1
AT3G11690	1
AT3G06450	1
AT1G06690	1
AT1G06470	1
AT5G04530	1
AT4G08980	1
AT3G50790	2
AT2G15530	1
AT5G11950	1
AT1G64040	2
AT5G23020	1
AT1G06000	1
AT2G01420	1
AT3G11500	1
AT3G54230	1
AT2G40010	2
AT3G10540	2
AT1G23390	1
AT3G27340	1
AT1G77250	1
AT5G53450	1
AT4G19490	1
AT5G58600	1
AT3G47390	1
AT3G01190	1
AT1G67880	1
AT1G20590	1
AT4G37100	1
AT1G30620	1
AT2G33390	1
AT4G33100	1
AT5G44660	2
AT2G17500	2
AT1G04220	1
AT5G25265	1
AT1G74340	1
AT2G24330	2
AT1G55990	1
AT1G20090	1
AT1G78490	2
AT5G49220	1
AT1G17160	1
AT5G50580	1
AT3G52610	1
AT2G37630	2
AT1G08420	1
AT2G26780	2
AT4G23910	3
AT1G14670	2
AT1G67560	1
AT3G13080	2
AT1G02130	1
AT1G16010	2
AT1G03860	1
AT1G80830	2
AT5G52200	1
AT2G01330	1
AT5G13420	1
AT4G35970	1
AT1G62280	1
AT4G13460	1
AT4G05160	1
AT5G67250	3
AT5G48500	1
AT2G43520	2
AT2G15960	1
AT4G01310	1
AT5G44530	1
AT2G22310	1
AT1G05810	2
AT5G49940	2
AT2G20230	1
AT5G59560	2
AT3G28455	2
AT1G25570	1
AT1G45130	1
AT1G10700	1
AT4G08960	1
AT5G13110	2
AT1G78770	2
AT4G19390	1
AT4G25990	1
AT5G19830	1
AT1G51760	1
AT4G00830	1
AT5G25050	1
AT4G30980	2
AT1G78080	2
AT2G07440	1
AT2G36080	1
AT3G22220	1
AT5G05610	1
AT5G60548	2
AT3G55400	1
AT4G36220	1
AT5G27395	1
AT5G02680	1
AT4G24100	1
AT2G28600	1
AT2G01540	2
AT3G32940	2
AT2G05140	1
AT3G14180	1
AT1G07480	1
AT2G17450	2
AT2G36670	1
AT2G44300	1
AT2G47970	3
AT1G11090	1
AT5G02050	1
AT2G01400	2
AT5G08160	1
AT5G42140	1
AT4G24680	2
AT3G09700	1
AT2G30520	1
AT2G33120	1
AT2G44150	1
AT5G60340	1
AT5G15265	1
AT1G70730	1
AT2G39530	1
AT3G24760	1
AT3G01590	1
AT4G25620	1
AT2G26910	1
AT4G00780	2
AT2G40360	1
AT3G26510	2
AT5G67160	1
AT5G50020	1
AT4G24460	2
AT1G16515	1
AT3G51050	1
AT2G28250	1
AT2G40120	1
AT1G26550	1
AT1G34430	1
AT3G54770	1
AT5G09300	3
AT2G31790	1
AT5G15130	1
AT2G20810	1
AT4G28760	1
AT1G26220	3
AT1G64890	1
AT5G16240	1
AT1G55210	1
AT5G13590	1
AT1G22570	1
AT2G16720	1
AT4G34240	1
AT4G30560	1
AT1G09415	1
AT1G71900	1
AT1G60830	1
AT4G15955	1
AT3G54400	1
AT2G01010	1
AT1G11800	1
AT5G22790	1
AT1G09815	1
AT4G36540	1
AT4G25940	1
AT4G28260	1
AT1G05680	1
AT3G47070	1
AT5G16010	1
AT3G47000	1
AT3G04780	1
AT5G01560	1
AT1G71210	1
AT5G50920	2
AT3G13175	2
AT3G12780	1
AT2G34970	1
AT1G62250	2
AT3G17710	1
AT1G79930	1
AT1G33265	1
AT5G04820	2
AT5G53310	1
AT5G67330	1
AT5G05470	1
AT4G33200	1
AT5G19080	1
AT3G20310	2
AT1G80780	1
AT5G66730	1
AT1G16560	2
AT1G05900	2
AT1G68795	1
AT1G68440	1
AT3G21870	1
AT3G61260	1
AT1G63295	1
AT5G46430	2
AT5G48540	1
AT3G12170	1
AT1G57600	1
AT5G04910	1
AT1G75350	1
AT5G58900	1
AT5G42825	2
AT5G36250	1
AT1G55730	1
AT2G36300	2
AT4G11320	2
AT5G09220	1
AT3G54610	3
AT5G50860	1
AT1G47830	1
AT5G17230	1
AT1G75780	2
AT2G23940	2
AT1G67792	1
AT1G64860	2
AT1G04820	1
AT1G22250	1
AT1G60790	1
AT2G31725	1
AT5G25900	1
AT3G10860	1
AT5G46740	1
AT3G19810	1
AT5G63870	1
AT5G09980	1
AT4G01510	2
AT2G26340	1
AT1G03520	1
AT5G41650	1
AT3G16470	2
AT1G18330	1
AT1G01740	1
AT3G59090	2
AT1G59910	2
AT5G40670	3
AT1G05590	1
AT1G25380	1
AT3G18480	2
AT1G47820	2
AT2G39675	2
AT3G07230	1
AT2G07360	3
AT1G32928	1
AT3G27310	1
AT4G37440	1
AT5G49215	1
AT4G23885	1
AT5G22210	2
AT4G23530	2
AT3G23300	1
AT1G11175	1
AT1G77180	1
AT2G20680	1
AT1G19580	1
AT5G07630	1
AT1G73660	1
AT4G27320	1
AT2G35100	1
AT5G65580	2
AT5G13190	2
AT2G43350	1
AT5G26710	1
AT1G06570	1
AT3G25610	2
AT1G53760	1
AT3G28720	1
AT4G00630	1
AT3G17440	2
AT3G07700	1
AT5G54650	1
AT5G13170	1
AT1G64780	1
AT1G21010	1
AT4G35230	1
AT1G27695	1
AT1G17890	2
AT5G13630	1
AT3G63140	2
AT5G03370	2
AT5G41810	1
AT3G23600	1
AT1G23800	1
AT1G76090	1
AT5G67200	1
AT1G02850	1
AT3G54300	3
AT5G36950	1
AT3G11900	1
AT4G26300	1
AT1G79030	1
AT3G13060	1
AT4G25720	1
AT2G04940	1
AT5G20290	1
AT3G56650	1
AT4G28740	1
AT5G57870	2
AT1G34000	1
AT3G53320	1
AT5G18410	1
AT1G59900	1
AT3G42725	1
AT3G51670	2
AT5G10110	2
AT1G49360	1
AT5G63195	1
AT2G17360	1
AT3G55070	1
AT5G47100	1
AT4G35320	1
AT5G14210	1
AT3G01780	1
AT5G13390	1
AT1G11260	1
AT5G53650	1
AT4G32460	2
AT4G01440	1
AT4G10300	1
AT2G24040	2
AT5G13010	1
AT2G21187	2
AT3G55430	1
AT1G20693	1
AT5G62480	1
AT1G02140	1
AT1G31230	2
AT3G20015	1
AT4G15560	1
AT1G69520	1
AT1G03380	1
AT2G34720	2
AT1G56010	2
AT1G67950	3
AT1G03080	1
AT4G23890	1
AT2G02880	1
AT4G20460	2
AT2G35000	1
AT4G00330	1
AT4G31840	1
AT1G10150	1
AT2G36026	1
AT1G07020	1
AT5G40730	1
AT5G51660	1
AT3G56630	1
AT1G14850	1
AT3G07910	1
AT2G38080	1
AT3G52090	1
AT1G80280	1
AT2G01755	1
AT3G06980	1
AT5G48930	2
AT2G47610	1
AT1G65260	2
AT1G63120	1
AT3G63210	1
AT4G26150	1
AT1G01170	2
AT2G43590	2
AT1G08500	1
AT5G65700	2
AT2G01490	1
AT4G39950	1
AT3G15690	2
AT1G15550	1
AT1G45165	2
AT1G09340	1
AT4G21160	1
AT2G46420	1
AT4G34350	1
AT5G22890	1
AT3G59760	2
AT1G69640	1
AT2G46810	1
AT5G59960	1
AT3G26460	2
AT1G29330	1
AT2G46505	2
AT5G11900	1
AT5G38060	1
ATCG00830	2
AT2G26920	1
AT5G47770	1
AT3G26990	1
AT1G76560	1
AT5G05540	1
AT2G37220	1
AT3G07200	1
AT2G35960	3
AT3G19080	1
AT3G53830	1
AT2G28160	1
AT1G71840	1
AT3G04610	1
AT5G56870	2
AT3G60750	1
AT5G19025	2
AT5G01370	2
AT3G52190	1
AT2G20010	1
AT1G08810	1
AT1G23205	1
AT4G21400	1
AT2G22500	1
AT4G40030	2
AT3G06950	2
AT2G31510	1
AT1G60270	1
AT4G34180	1
AT5G61600	1
AT4G01120	1
AT4G14440	1
AT4G17270	1
AT2G47070	2
AT1G18200	2
AT5G06930	1
AT3G61540	1
AT5G14390	2
AT5G50320	1
AT2G43540	1
AT1G23080	1
AT5G39850	2
AT5G14440	1
AT3G22850	1
AT3G03890	1
AT1G44750	1
AT1G09730	1
AT1G34380	1
AT4G13780	1
AT1G03457	1
AT3G53090	2
AT2G31140	3
AT3G11470	1
AT3G63190	3
AT1G08750	1
AT2G46060	1
AT1G13820	2
AT5G50950	1
AT3G44670	1
AT1G32630	1
AT1G53290	1
AT4G00720	1
AT1G19150	2
AT3G63150	1
AT2G41060	1
AT3G20240	1
AT5G58350	1
AT3G07720	2
AT2G44850	1
AT5G42920	1
AT2G23070	1
AT1G68560	1
AT1G55110	1
AT3G51780	1
AT3G04110	1
AT5G62410	1
AT3G13580	1
AT1G04960	1
AT4G33300	5
AT2G41945	2
AT5G09690	1
AT5G06839	2
AT2G28190	1
AT1G31170	1
AT5G01510	2
AT4G30170	1
AT4G18197	1
AT3G12490	1
AT4G29890	1
AT4G17616	2
AT5G50160	2
AT1G50575	2
AT5G05820	1
AT1G48970	1
AT5G18850	2
AT5G07080	1
AT2G28630	1
AT1G10320	1
AT4G14070	1
AT3G54740	1
AT5G16300	2
AT3G06540	2
AT3G21400	3
AT2G43620	1
AT4G16146	1
AT4G15160	1
AT4G25225	1
AT5G44680	1
AT2G33790	1
AT2G38390	1
AT2G41420	2
AT3G19220	1
AT2G23672	1
AT2G14880	1
AT5G16800	1
AT1G24350	1
AT3G60070	1
AT1G62620	2
AT5G54940	1
AT2G14660	1
AT3G17210	1
AT5G05200	1
AT4G24930	1
AT1G15120	2
AT3G13677	1
AT3G10770	1
AT2G47170	1
AT1G10490	3
AT4G00355	1
AT3G23830	1
AT3G53000	1
AT2G24050	1
AT5G59290	1
AT3G25500	3
AT3G28956	1
AT1G77550	3
AT5G03200	1
AT2G29900	2
AT1G07960	2
AT3G47290	1
AT1G78690	1
AT3G43800	1
AT5G44200	1
AT2G01950	1
AT1G20823	1
AT1G31150	1
AT3G27390	1
AT3G12360	1
AT5G51670	1
AT3G57020	1
AT1G19990	1
AT1G52320	2
AT1G06090	1
AT1G52540	1
AT5G62690	1
AT2G46930	2
AT4G20130	2
AT2G20140	1
AT2G21045	1
AT5G41370	1
AT1G78915	1
AT2G19810	1
AT5G16780	1
AT5G53620	1
AT2G27550	1
AT1G71100	2
AT3G62030	1
AT1G49670	1
AT5G44585	1
AT4G15090	1
AT1G35516	1
AT1G31650	1
AT3G02885	1
AT5G15970	1
AT4G01800	2
AT3G56190	1
AT3G51090	1
AT1G50120	1
AT1G02960	1
AT2G24860	1
AT5G20180	1
AT1G31335	1
AT5G03700	1
AT3G22550	1
AT5G54510	2
AT2G46160	1
AT5G11690	1
AT2G36630	1
AT3G07750	1
AT4G30610	2
AT1G78600	1
AT2G30390	1
AT2G30570	1
AT2G03680	1
AT5G43430	2
AT4G14040	2
AT5G62960	2
AT3G16170	1
AT4G05070	1
AT1G29810	1
AT3G09940	1
AT1G56450	1
AT5G63470	1
AT5G58210	1
AT5G66920	1
AT1G15180	2
AT4G24290	1
AT4G18370	1
AT1G56200	1
AT1G71260	2
AT1G24120	1
AT5G27460	1
AT3G07010	1
AT5G53290	1
AT5G67280	1
AT2G01060	1
AT1G62780	1
AT2G21240	2
AT3G14940	1
AT1G62790	1
AT1G09240	1
AT1G48310	1
AT2G03140	1
AT5G11030	2
AT5G14060	1
AT1G61850	1
AT5G18680	1
AT2G47920	1
AT1G80510	2
AT5G53850	1
AT1G62510	1
AT2G39710	1
AT2G19490	1
AT4G10280	1
AT5G58250	1
AT4G30850	1
AT3G13226	2
AT4G24990	1
AT5G64500	1
AT5G25120	1
AT3G08670	1
AT2G25280	1
AT2G30540	1
AT4G15093	1
AT3G07568	1
AT4G02040	1
AT2G26660	1
AT3G26520	1
AT1G76170	1
AT3G08640	1
AT2G44040	1
AT4G03070	2
AT1G02930	1
AT4G16060	1
AT2G41200	1
AT1G53180	1
AT1G01320	4
AT2G38440	1
AT3G14130	1
AT3G53610	2
AT1G77020	1
AT1G57860	1
AT1G64628	1
AT5G50250	1
AT3G07140	2
AT5G25820	1
AT5G10700	1
AT2G17780	1
AT5G67030	1
AT1G77370	1
AT1G10690	1
AT5G63780	1
AT2G27350	1
AT5G58000	1
AT3G07810	1
AT5G42660	1
AT3G08930	1
AT5G41150	1
AT4G19660	1
AT4G00340	1
AT1G58360	2
AT4G23550	3
AT5G06430	1
AT3G11240	1
AT1G30520	1
AT4G31000	2
AT5G58720	1
AT5G67640	2
AT5G49010	1
AT2G30260	1
AT4G35060	1
AT5G44560	1
AT3G53940	1
AT3G12400	1
AT3G47980	1
AT3G62460	2
AT1G05780	1
AT5G39950	1
AT5G13520	2
AT3G45050	1
AT5G08550	2
AT5G65880	1
AT5G22630	3
AT3G23560	1
AT4G29130	1
AT4G30140	1
AT4G17790	1
AT1G04710	2
AT3G12140	1
AT2G03750	1
AT5G57860	1
AT1G68680	1
AT4G00060	2
AT1G09520	1
AT5G47450	1
AT3G01142	1
AT3G47510	1
AT5G57630	1
AT3G55170	1
AT1G74680	2
AT4G31060	1
AT5G09810	1
AT3G05940	1
AT3G05000	3
AT2G09795	1
AT5G02250	1
AT4G15420	1
AT5G23100	3
AT1G78420	1
AT5G07440	1
AT3G13290	2
AT2G22530	1
AT3G55230	1
AT2G18950	1
AT5G55230	1
AT1G58025	1
AT3G59640	1
AT5G18590	1
AT5G48880	1
AT5G44400	2
AT2G34050	1
AT4G23010	1
AT5G53470	1
AT1G16650	2
AT1G31010	1
AT5G06100	1
AT5G38980	1
AT2G33730	1
AT2G23460	1
AT1G72140	1
AT5G38290	1
AT1G64740	1
AT5G54960	1
AT4G19550	1
AT4G00905	2
AT4G14200	1
AT3G11070	1
AT3G56820	1
AT5G63040	2
AT5G22840	1
AT1G21660	1
AT3G11620	1
AT5G07020	1
AT1G12710	1
AT3G60590	1
AT5G62140	1
AT1G07200	1
AT3G28345	3
AT1G28280	1
AT5G47190	2
AT3G18270	2
AT2G37250	1
AT4G25890	1
AT1G19020	1
AT3G18710	1
AT3G44300	1
AT2G17580	1
AT2G03340	2
AT2G36320	1
AT3G55360	1
AT2G41020	1
AT3G06190	1
AT5G49555	1
AT3G16080	1
AT1G12850	1
AT4G21100	1
AT4G38100	1
AT3G62560	1
AT4G32920	2
AT1G03365	1
AT3G62790	1
AT1G17220	2
AT2G47910	1
AT3G52290	2
AT2G41250	3
AT5G21280	2
AT3G06480	2
AT5G20070	1
AT3G16290	2
AT1G02330	2
AT5G05440	2
AT4G39030	1
AT1G21630	1
AT3G12390	1
AT5G63700	1
AT2G34660	2
AT1G65985	2
AT5G08450	2
AT5G67500	1
AT4G34650	1
AT2G39050	1
AT5G33300	1
AT3G25530	1
AT3G28480	1
AT5G04520	1
AT3G27350	1
AT2G20280	1
AT3G21700	2
AT2G32800	1
AT2G22920	1
AT1G24577	2
AT5G18390	1
AT2G27980	1
AT1G23180	1
AT3G53100	1
AT1G61790	2
AT5G06870	1
AT2G32280	1
AT1G23970	1
AT2G02500	1
AT1G17500	1
AT3G20250	2
AT3G57890	1
AT3G13620	1
AT5G01530	1
AT2G39805	1
AT5G27410	1
AT1G20225	1
AT5G08000	1
AT3G49210	1
AT1G19720	1
AT3G26910	1
AT2G26110	1
AT1G49350	1
AT1G23130	1
AT2G44350	1
AT1G05790	2
AT5G62680	1
AT1G78570	1
AT1G12470	1
AT4G33090	2
AT3G51030	1
AT4G33680	2
AT5G09462	1
AT3G52880	2
AT1G72090	1
AT3G52120	1
AT1G22470	1
AT5G59160	1
AT2G45440	1
AT5G41060	1
AT3G22990	1
AT5G04280	1
AT5G42480	1
AT3G44430	1
AT4G26720	1
AT1G49820	2
AT4G28400	1
AT5G09790	1
AT5G25490	1
AT4G17560	1
AT3G01100	1
AT3G63340	1
AT3G28670	2
AT1G44970	1
AT2G01180	1
AT2G34470	3
AT2G26860	1
AT2G16090	2
AT5G63880	1
AT1G71696	1
AT5G62840	3
AT4G32175	1
AT3G20320	1
AT5G08570	1
AT5G44500	1
AT4G22592	1
AT2G35240	1
AT3G14060	3
AT1G28120	2
AT4G08555	1
AT5G35930	2
AT5G11330	1
AT2G45070	1
AT2G01530	1
AT2G22770	1
AT1G19050	1
AT5G24870	1
AT2G44020	1
AT5G02090	1
AT2G32220	1
AT2G25490	1
AT3G60950	1
AT2G21410	1
AT3G15420	1
ATCG00900	1
AT1G33470	1
AT5G61340	1
AT5G12190	1
AT1G56220	1
AT2G22482	1
AT2G17370	1
AT5G10190	1
AT5G57890	1
AT2G42960	1
AT3G09540	1
AT4G26510	3
AT3G04340	1
AT1G08660	1
AT1G09210	1
AT1G73440	1
AT2G30575	2
AT3G12870	1
AT5G50400	1
AT4G32850	1
AT4G21350	1
AT2G15620	1
AT1G75130	1
AT5G23430	1
AT5G24430	1
AT1G77740	1
AT5G56130	1
AT1G74250	2
AT2G29360	1
AT4G25280	1
AT2G22990	1
AT1G29320	1
AT1G49032	1
AT1G26930	1
AT4G18040	1
AT1G71970	2
AT1G12830	1
AT3G23070	1
AT1G61570	1
AT1G53785	1
AT4G27990	1
AT2G38290	1
AT5G20090	1
AT1G61990	1
AT5G12080	1
AT4G14680	1
AT5G51750	1
AT2G24180	1
AT3G25730	2
AT5G07910	1
AT5G16715	1
AT2G21195	1
AT5G24690	1
AT5G48160	2
AT2G22000	1
AT5G53210	1
AT2G07170	1
AT4G34370	1
AT4G36290	1
AT1G23020	2
AT5G20970	1
AT2G21650	1
AT1G20380	1
AT1G63260	1
AT4G08780	1
AT1G31690	1
AT1G04970	1
AT5G04200	1
AT5G45040	1
AT2G46890	1
AT3G21630	1
AT2G39420	1
AT5G61930	1
AT3G26570	1
AT5G25570	1
AT5G16820	2
AT3G29290	1
AT3G03120	1
AT3G59520	2
AT1G32990	2
AT5G10070	1
AT2G39800	2
AT2G29970	1
AT1G60220	2
AT5G41480	1
AT2G21190	1
AT1G13770	1
AT2G30250	1
AT4G02450	1
AT4G33660	2
AT2G31410	1
AT4G07820	1
AT5G35630	1
AT5G65710	2
AT3G18140	1
AT5G47230	2
AT5G01820	1
AT5G48470	1
AT4G11060	1
AT5G23460	1
AT1G20020	1
AT4G29700	1
AT1G34350	1
AT3G25430	1
AT5G04890	1
AT5G64120	1
AT2G46330	1
AT5G59180	2
AT4G27300	1
AT1G73260	1
AT3G04400	1
AT2G38730	1
AT3G13437	1
AT2G05630	2
AT3G10910	1
AT5G19770	2
AT5G17820	2
AT4G16760	3
AT5G48590	2
AT3G54680	1
AT3G22750	1
AT1G57870	1
AT3G44610	1
AT2G28305	1
AT1G71240	2
AT1G45233	1
AT1G69980	2
AT5G26790	1
AT5G05110	1
AT5G64630	1
AT3G15356	1
AT1G53530	2
AT5G55630	1
AT1G68570	1
AT1G62600	1
AT4G02610	1
AT1G79820	2
AT1G66140	1
AT1G21880	1
AT1G30200	1
AT4G21910	1
AT5G54440	1
AT5G47140	1
AT3G19900	1
AT3G15530	1
AT4G13250	2
AT1G27100	1
AT1G32490	1
AT2G22120	2
AT4G30910	1
AT5G19220	1
AT3G17250	1
AT5G58530	1
AT2G11910	2
AT4G22530	2
AT1G17100	2
AT3G14690	1
AT4G25760	1
AT5G60640	2
AT5G14600	1
AT4G22550	3
AT1G28710	2
AT1G11475	1
AT1G79340	2
AT1G74730	2
AT2G15490	2
AT1G01690	3
AT4G29240	1
AT4G15545	3
AT5G52580	1
AT1G21610	1
AT3G52170	1
AT2G26590	1
AT5G44600	1
AT4G32060	2
AT1G66200	1
AT1G14000	1
AT5G04130	1
AT3G09925	2
AT2G27530	1
AT4G32440	1
AT1G63470	1
AT2G43400	2
AT3G53960	1
AT5G24170	3
AT4G36250	1
AT4G12910	1
AT3G22300	2
AT3G55390	1
AT5G06140	1
AT1G13590	2
AT3G56940	1
AT2G45630	1
AT2G34560	1
AT5G14170	1
AT5G64070	2
AT1G20970	2
AT2G35130	1
AT1G09430	2
AT1G27600	1
AT3G16560	2
AT3G13750	1
AT1G22890	1
AT5G60100	1
AT3G48420	1
AT3G06010	1
AT4G39880	1
AT1G13220	1
AT3G07740	2
AT3G01320	1
AT5G35840	1
AT1G80360	1
AT1G16790	1
AT2G21970	1
AT5G42250	1
AT3G09150	2
AT3G02300	1
AT1G51800	1
AT3G53900	1
AT4G34620	1
AT5G50550	1
AT2G33860	1
AT4G30660	2
AT1G03780	1
AT5G64300	1
AT5G40740	1
AT4G35020	1
AT5G40850	1
AT1G76350	1
AT1G54730	1
AT2G44680	1
AT1G72390	1
AT3G29240	1
AT5G19900	1
AT2G39725	1
AT1G17050	2
AT3G19553	1
AT1G61620	2
AT1G14150	1
AT1G72810	1
AT1G55500	1
AT3G21351	1
AT4G25840	1
AT2G03505	1
AT5G17270	1
AT1G49730	1
AT1G24020	1
AT5G34940	1
AT1G24490	1
