allZT	nbZT
AT1G56650	4
AT5G54710	4
AT3G06390	8
AT2G05540	10
AT3G61898	2
AT2G32487	2
AT1G19070	5
AT2G47200	7
AT2G28630	5
AT2G39510	5
AT5G24780	3
AT5G05365	1
AT1G48100	1
AT5G44572	3
AT1G29395	7
AT3G15356	8
AT1G14250	6
AT2G23010	1
AT1G22400	4
AT1G51140	3
ATCG00130	3
AT1G52050	4
AT1G17180	7
AT2G40435	2
ATMG01390	9
AT1G67750	3
AT1G47600	8
AT1G78830	4
AT1G17190	4
AT1G68600	4
AT1G31690	7
AT1G75040	5
AT3G13857	10
AT2G33790	4
AT2G20750	1
AT5G60530	5
AT1G55450	4
AT1G48330	4
AT3G47420	4
AT4G11190	1
AT3G48720	2
AT4G30460	5
AT4G12470	6
ATCG00950	9
AT2G40300	6
AT2G40960	1
ATMG00030	3
AT5G40690	4
AT4G13493	7
AT2G06850	3
AT2G30600	3
AT2G40330	3
AT4G13860	6
AT4G17215	6
AT4G23600	7
AT2G23000	3
AT5G13740	10
AT1G31580	9
AT4G17245	5
AT1G21110	2
AT4G16370	6
AT5G24570	2
AT1G80240	5
AT1G44800	9
AT1G12080	3
AT1G15380	7
AT1G45145	8
AT4G29270	4
AT1G66280	8
AT2G16586	3
AT3G56360	2
AT4G21850	8
AT5G23830	4
AT1G76960	3
AT3G16450	5
AT2G02120	6
AT2G01010	6
AT2G46600	8
AT1G17170	6
AT4G39800	5
AT3G16670	8
AT4G33220	1
AT4G30660	2
AT1G54000	8
AT4G15620	7
AT3G56090	1
AT1G76160	1
AT1G74670	9
AT1G54010	5
AT1G48300	1
AT1G62180	5
AT1G21130	4
AT5G44020	2
AT5G10430	3
AT3G20370	7
AT1G68530	2
AT3G16400	4
AT4G30650	4
AT1G76680	6
AT3G16370	1
AT1G62480	2
AT1G76600	1
AT4G17490	1
AT3G23550	2
AT4G17470	3
AT4G15700	3
AT5G59820	1
AT1G70700	2
AT1G72900	2
AT2G25735	1
AT5G04340	1
AT1G27020	7
AT4G17500	2
AT1G05680	2
AT2G38470	1
AT5G48570	1
AT3G25760	3
AT2G41730	2
AT3G30720	4
AT4G08555	6
AT1G07135	1
AT4G31800	1
AT5G07840	6
AT4G26055	7
AT4G22230	4
AT2G36800	1
AT1G06160	1
AT4G24380	1
AT4G27280	1
AT3G51450	1
AT1G63245	6
AT5G08210	5
AT1G32920	2
AT5G05600	2
AT5G61600	1
AT3G03820	4
AT1G72450	1
AT1G19180	2
AT1G19670	3
AT1G53885	2
AT3G48360	5
AT5G14730	1
AT2G15480	1
AT2G44080	2
AT4G01870	5
AT2G06050	1
AT5G52310	3
AT5G22140	1
AT1G16410	7
AT5G17000	1
AT5G20250	5
AT1G51090	3
AT3G09350	1
AT2G03760	1
AT3G28740	5
AT3G24480	2
AT5G50562	6
AT2G43530	2
AT1G03850	3
AT2G33770	4
AT1G21100	7
AT5G45670	4
AT1G55860	1
AT5G15780	1
AT3G02020	4
AT2G16660	1
AT1G57990	1
AT5G08790	1
AT4G24350	1
AT5G08000	3
AT3G01290	4
AT4G18440	1
AT5G35735	1
AT4G36500	1
AT5G42650	4
AT2G01020	3
AT1G67865	3
AT5G17170	8
AT1G19550	3
AT3G05730	3
AT5G53460	2
AT3G19710	8
AT2G43550	3
AT1G70830	3
AT3G09390	2
AT4G10270	8
AT5G03350	3
AT2G32880	2
AT2G47880	8
AT2G32870	2
AT5G48180	1
AT4G33560	7
AT3G49110	4
AT5G48485	8
AT3G27690	4
AT1G78460	7
AT1G26770	2
AT2G40100	3
AT4G22690	2
AT5G65010	6
AT3G53342	3
AT4G01390	3
AT2G05100	3
AT5G14120	4
AT1G75750	4
AT1G36370	1
AT2G24040	2
AT5G14920	2
AT5G09220	1
AT3G15630	2
AT3G03270	2
AT4G33960	6
AT2G05070	3
AT1G33600	2
AT5G64080	2
AT5G36910	2
AT1G59870	2
AT1G33590	2
AT2G26080	1
AT2G23600	2
AT3G19030	4
AT2G34430	8
AT3G16420	3
AT2G40205	8
AT5G63600	5
AT4G38770	1
AT3G61440	2
AT5G15230	1
AT1G07610	6
AT3G15353	1
AT2G18193	2
AT5G04150	7
AT4G27450	7
AT3G22235	6
AT5G39890	3
AT4G16690	4
AT1G05340	6
AT3G45730	2
AT1G43310	3
AT2G25510	7
AT2G38940	1
AT5G10140	1
AT3G24420	2
AT1G64590	2
AT4G21830	3
AT2G28780	4
AT1G23390	2
AT1G32900	1
AT4G37610	1
AT3G62760	1
AT4G27300	1
AT5G58570	7
AT4G34800	2
AT1G07600	6
AT1G56150	1
AT4G07820	1
AT1G68880	1
AT5G61440	1
AT3G52520	2
AT4G01080	1
AT4G18205	1
AT1G14120	4
AT4G14400	3
AT3G54830	1
AT3G26960	1
AT4G15440	2
AT4G40090	4
AT1G18970	4
AT5G40450	1
AT2G41090	5
AT3G28270	2
AT5G02690	2
AT2G36690	1
AT4G15760	6
AT3G48340	4
AT4G22666	5
AT1G54040	2
AT1G30820	1
AT1G72360	1
AT1G22890	3
AT5G58650	1
AT1G12740	1
AT3G56400	1
AT2G22990	1
AT1G49500	2
AT1G59730	2
AT1G65310	4
AT3G28290	1
AT3G11550	3
AT3G27220	2
AT3G52748	3
AT1G68840	1
AT3G28550	5
AT3G12500	1
AT5G62360	2
AT1G22160	4
AT1G45191	1
AT2G18370	6
AT4G37483	5
AT1G64780	2
AT1G25560	2
AT1G03495	3
AT3G46130	1
AT4G04040	1
AT3G62040	6
AT4G13340	1
AT3G12502	2
AT2G34070	4
AT1G53887	1
AT5G20740	2
AT4G37540	1
AT2G42750	3
AT2G29340	6
AT4G15480	1
AT1G03940	1
AT5G07990	1
AT4G35060	2
AT1G06830	1
AT3G11930	2
AT5G05440	1
AT1G78000	5
AT3G24300	4
AT1G02850	6
AT5G53902	1
AT1G76955	1
AT1G77760	6
AT5G66985	6
AT2G43820	2
AT5G41080	2
AT1G58290	6
AT1G72645	4
AT1G18980	4
AT2G29170	1
AT5G63560	4
AT5G50560	2
AT2G36100	6
AT5G26280	4
AT1G23090	1
AT2G26980	5
AT4G33666	1
AT5G07475	6
AT2G41560	1
AT1G05000	3
AT5G24105	2
AT2G46220	2
AT3G29780	4
AT3G56705	2
AT3G09270	6
AT5G43350	5
AT3G23430	4
AT4G39210	1
AT4G19410	1
AT1G52200	3
AT2G24945	5
AT3G15650	2
AT4G31910	4
AT1G80920	5
AT3G14940	3
AT3G10020	4
AT4G15610	5
AT5G66690	3
AT5G24155	1
AT2G01850	1
AT2G25810	3
AT3G18290	7
AT1G02360	6
AT2G38380	6
AT5G67370	5
AT1G30510	4
AT5G10130	3
AT1G78820	1
AT5G24490	1
AT5G18150	3
AT1G23020	5
AT2G25980	4
AT1G56220	1
AT5G07322	5
AT2G21045	6
AT4G15390	6
AT1G52342	2
AT1G78340	3
AT5G24150	1
AT3G01190	5
AT1G53560	1
AT1G20070	4
AT3G57020	5
AT1G29920	3
AT2G48130	5
AT1G77330	4
AT1G05835	2
AT3G32980	6
AT1G02900	2
AT3G22600	6
AT5G11070	1
AT5G05960	6
AT1G11580	5
AT3G02885	2
AT5G59520	6
AT5G56540	5
AT2G36120	5
AT2G44790	6
AT3G22240	6
AT5G67480	2
AT4G13250	6
AT3G44990	1
AT2G18980	4
AT3G08940	2
AT2G30930	1
AT1G67360	1
AT1G70782	2
AT1G25275	1
AT1G64980	3
AT1G10682	5
AT1G16720	1
AT3G52360	1
AT2G18328	3
AT4G30670	6
AT2G29310	1
AT3G16460	4
AT2G05440	2
AT1G56430	6
AT2G18230	1
AT5G02160	1
AT4G34950	1
AT1G37130	3
AT1G14870	7
AT4G13500	1
AT2G39700	1
AT3G48990	5
AT3G62550	2
AT1G66200	2
AT1G70890	2
AT1G78020	4
AT1G07901	3
AT5G13220	1
AT3G20395	5
AT5G10380	2
AT5G47240	1
AT3G60420	1
AT4G27410	1
ATCG00540	3
AT1G72416	1
AT3G47340	5
AT4G02380	6
AT3G48450	5
ATCG00840	3
AT1G60960	3
AT1G32640	1
AT2G32150	3
AT3G52790	4
AT4G15490	4
AT5G63160	6
AT2G41990	1
AT2G38750	1
AT3G13435	5
AT4G22460	3
AT3G06070	1
AT5G23020	6
AT5G48070	2
AT2G02930	2
AT5G06870	1
AT5G43450	2
AT1G16400	5
AT3G25930	5
AT2G43610	4
AT5G61820	5
AT5G64260	5
AT1G74500	4
AT3G20470	2
AT1G08430	3
AT4G04770	3
AT5G59090	5
AT5G24210	2
AT5G39050	1
AT4G08870	2
AT1G51760	1
AT2G29490	3
AT1G58270	2
AT3G44310	1
AT4G34138	1
AT1G05562	1
AT4G35090	3
AT1G43790	2
AT2G25450	1
AT5G16970	2
AT3G16430	3
AT4G02520	5
AT1G33110	2
AT3G04720	3
AT3G09260	3
AT2G41410	1
AT2G15970	1
AT2G29420	2
AT5G63790	1
AT2G39570	4
AT5G19550	1
AT5G65730	1
AT3G22200	1
AT2G15960	5
AT5G59540	1
AT5G17330	3
AT3G15950	2
AT3G16470	1
AT3G48690	2
AT3G10985	1
AT4G31500	1
AT1G19570	1
AT2G43590	6
AT1G62660	4
AT4G30170	4
AT1G45201	1
AT3G14990	3
AT4G37800	1
AT5G07440	4
AT5G23820	1
AT2G04040	3
AT5G35480	3
AT5G35190	1
AT5G45650	1
AT5G56840	1
AT5G26200	3
AT1G51470	3
AT4G37160	1
AT3G02240	3
AT4G15160	4
AT3G01940	3
AT3G18200	1
AT2G45220	4
AT1G51840	2
AT1G23720	4
AT5G62340	3
AT4G00651	2
AT3G58810	3
AT2G47540	2
AT3G54580	3
AT5G01740	4
AT3G01260	2
AT5G49360	4
AT3G53480	2
AT1G10657	1
AT5G05500	2
AT3G16440	3
AT3G55230	4
AT1G29440	1
AT1G68850	3
AT4G17670	1
AT5G66390	3
AT4G36570	5
AT5G15265	3
AT2G32300	2
AT3G04210	1
AT4G25820	3
AT2G43120	2
AT2G28160	2
AT1G22500	4
AT5G02490	1
AT5G57625	3
AT5G57090	2
AT4G13580	3
AT1G07050	1
AT1G06570	3
AT1G49032	4
AT1G65970	4
AT3G54770	1
AT4G00080	3
AT3G49960	2
AT5G12940	2
AT5G17820	5
AT5G40850	4
AT3G51330	2
AT4G26010	2
AT3G09925	1
AT2G41660	2
AT3G23180	2
AT1G06090	2
AT3G17510	4
AT1G78090	2
AT3G21870	4
AT3G24020	2
AT4G37010	3
AT5G56870	3
AT4G11290	1
AT1G51830	2
AT5G47560	3
AT5G50160	1
AT4G12980	1
AT2G28670	2
AT5G63180	1
AT4G38860	1
AT1G60140	3
AT1G30870	1
AT3G62930	1
AT5G12420	4
AT4G30280	4
AT5G63530	1
AT3G28070	1
AT1G05260	2
AT1G13990	2
AT5G53420	1
AT1G60680	2
AT1G17860	4
AT5G53160	3
AT3G54960	2
AT5G42020	1
AT5G56750	2
AT4G38950	1
AT2G27550	5
AT5G44380	4
AT4G20070	2
AT5G45950	4
AT2G20570	1
AT1G54740	4
AT1G68238	1
AT5G16030	1
AT5G42900	1
AT1G77510	1
AT4G25630	1
AT3G07390	1
AT5G28540	2
AT3G17609	2
AT4G23690	2
AT1G29280	1
AT4G18970	4
AT4G19030	3
AT4G38540	3
AT5G11950	1
AT4G34600	4
AT5G44110	1
AT2G36830	2
AT5G62720	1
AT5G47610	3
AT1G03130	1
AT5G56010	1
AT2G31390	2
AT1G56110	1
AT5G23240	1
AT2G28950	1
AT2G14890	1
AT1G67860	2
AT1G09740	3
AT5G14200	3
AT2G21210	1
AT3G62600	1
AT4G01480	2
AT2G34620	1
AT5G61790	1
AT5G51550	1
AT1G18250	3
AT5G27120	1
AT1G10522	3
AT2G44670	1
AT5G02840	1
AT5G65210	3
AT1G79530	2
AT2G31810	1
AT5G59030	1
AT4G37300	1
AT3G03780	2
AT5G65660	2
AT5G44680	1
AT5G39320	1
AT4G30190	2
AT3G27770	1
AT3G04290	4
AT1G12780	2
AT4G17340	3
AT3G02570	2
AT2G15620	1
AT1G21680	1
AT4G24190	1
AT3G44750	1
AT1G56340	1
AT1G25440	1
AT3G02230	1
AT1G09210	1
AT1G52230	1
AT5G56030	1
AT1G21750	1
AT5G51010	4
AT4G26850	1
AT5G13420	2
AT1G76100	1
AT1G20440	3
AT5G16110	1
AT2G37170	1
AT1G03630	1
AT1G29910	2
AT5G11740	1
AT1G03220	2
AT3G14210	3
AT5G14740	1
AT3G26740	2
AT4G33310	2
AT5G02020	2
AT1G21520	2
AT4G14060	1
AT5G67330	1
AT4G14690	2
AT1G66180	1
AT3G14050	1
AT2G34420	2
AT5G44610	4
AT1G66760	2
AT1G52827	2
AT2G27830	2
AT2G36885	1
AT2G37760	3
AT1G80440	1
AT1G13300	2
AT3G13470	2
AT2G39450	1
AT2G41380	2
AT1G08830	3
AT1G69530	1
AT5G18170	1
AT5G21170	1
AT4G11211	1
AT2G37040	3
AT3G27060	1
AT3G16770	2
AT4G25700	1
AT4G15910	1
AT1G20620	1
AT5G54270	1
AT1G15820	1
AT1G05065	2
AT4G08780	2
AT5G18404	2
AT3G50400	1
AT3G08040	1
AT2G20835	1
AT4G11880	3
AT5G65207	1
AT2G41800	1
AT1G64220	2
AT4G13235	3
AT4G25400	2
AT4G04810	1
AT2G43670	2
AT5G49350	2
AT2G25160	2
AT1G56680	1
AT1G21400	2
AT4G31320	1
AT2G30210	1
AT2G47270	2
AT1G56320	2
AT5G52790	1
AT3G49845	1
AT2G41480	2
AT5G13900	2
AT2G12646	1
AT4G27657	1
AT3G44540	1
AT2G03200	2
AT2G40113	1
AT2G40000	2
AT5G56100	2
AT3G05920	2
AT2G27230	1
AT2G04800	2
AT5G48110	1
AT1G30700	2
AT4G00670	2
AT3G44550	2
AT3G23470	1
AT1G66725	1
AT5G42180	1
AT1G22065	2
AT2G46750	2
AT5G42250	2
AT3G47980	1
AT5G48657	1
AT4G29690	1
AT3G11340	1
AT3G43670	2
AT1G30750	2
AT1G31950	1
AT3G61060	1
AT2G40670	1
AT2G39430	1
AT5G24030	1
ATCG00770	2
AT4G22235	1
AT3G26470	2
AT3G45710	2
AT1G69810	1
AT5G19520	1
AT3G15240	1
AT2G15490	1
AT3G02380	1
AT3G49780	3
AT2G47130	1
AT4G01440	1
AT3G26440	1
AT3G25780	1
AT2G04795	1
AT4G18360	1
AT3G50970	2
AT3G54420	1
AT4G06744	1
AT3G62270	1
AT2G03090	1
AT3G23175	1
AT1G60740	2
AT4G23885	1
AT3G18560	1
AT3G19390	3
AT5G41040	1
AT3G22183	2
AT1G69040	1
AT4G13660	1
AT4G04610	2
AT2G46140	1
AT5G45280	1
AT1G62570	2
AT5G50760	2
AT3G21770	1
AT2G42570	1
AT3G01950	1
AT4G28250	1
AT1G22440	1
AT5G17300	1
AT5G14410	1
AT1G64390	1
AT2G25060	1
AT4G21620	1
AT5G57785	2
AT3G07870	1
AT1G73600	1
AT5G18670	1
AT1G01060	1
AT1G24020	2
AT5G07030	1
AT3G62650	1
AT1G20450	1
AT3G02120	1
AT5G37740	1
AT3G45160	1
AT2G38230	1
AT2G35120	1
AT1G11260	1
AT4G13770	1
AT5G37600	1
AT5G41670	1
AT5G19440	1
AT2G27510	1
AT2G27402	1
AT4G34290	1
AT1G35720	1
AT3G52930	1
AT1G02710	1
AT1G58150	1
AT5G06980	1
ATCG01080	2
AT5G09978	1
AT1G13650	2
AT1G27140	1
AT5G42510	2
AT1G65510	1
AT4G30730	1
AT1G10250	1
AT3G50640	1
AT5G66170	1
AT5G51780	1
AT2G37750	1
AT5G19151	1
AT1G71740	1
ATCG00810	2
AT3G05600	1
AT5G24120	1
AT3G10910	1
AT3G19660	1
AT1G31935	1
AT3G21710	1
AT5G19230	1
ATCG00790	2
AT2G16850	1
AT1G77885	1
AT2G41250	1
AT3G29034	1
AT3G14770	1
AT5G58770	1
AT2G26330	1
AT3G61990	1
AT2G33850	1
AT1G34418	1
AT5G25890	1
AT2G02390	1
AT4G13180	1
AT2G42600	1
AT3G54500	1
AT5G49480	1
AT1G07590	1
AT3G05880	1
ATCG01100	1
ATCG00040	1
AT2G07671	1
ATCG00430	1
AT5G50335	1
ATCG00890	1
ATCG00530	1
AT3G59900	1
ATCG00150	1
ATCG00900	1
ATCG00750	1
ATCG00800	1
AT2G30540	1
AT1G09530	1
AT3G61198	1
AT1G42430	1
AT4G27260	1
AT5G67400	1
AT5G01215	1
AT5G01015	1
AT4G28780	1
ATCG00480	1
AT1G14890	1
AT3G23190	1
AT1G72970	1
AT5G48490	1
AT3G60530	1
